어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
초록샘어린이집,전라북도,전주시 완산구,민간,30,6,전라북도 전주시 완산구 효자동2가 홍산1길 7 SK리더스뷰 아파트 관리동 내,063-228-0123,,,0,6,,,2020-10-31
초록숲어린이집,전라북도,전주시 덕진구,가정,20,5,"전라북도 전주시 덕진구 오공로 71 105동 101호(중동, 호반베르디움아파트)",070-8744-6457,,,0,5,,,2020-10-31
초록아이어린이집,전라북도,전주시 완산구,민간,49,7,전라북도 전주시 완산구 따박골6길 23 (중화산동2가),063-226-0931,,,0,7,,,2020-10-31
칙칙폭폭어린이집,전라북도,전주시 덕진구,가정,17,5,"전라북도 전주시 덕진구 팽나무2길 7 102동 104호(인후동1가, 인후휴먼시아아파트)",063-902-2629,,,0,4,,,2020-10-31
캔디어린이집,전라북도,전주시 덕진구,가정,19,5,"전라북도 전주시 덕진구 안덕원로 251 104동 104호(인후동1가, 인후동한신휴플러스)",063-247-1871,,,0,4,,,2020-10-31
캥거루어린이집,전라북도,전주시 완산구,가정,20,8,전라북도 전주시 완산구 거마산로 8-4 (삼천동1가),063-227-1718,,,0,4,,,2020-10-31
코코어린이집,전라북도,전주시 완산구,가정,19,4,"전라북도 전주시 완산구 양지2길 52-7 116동 104호(평화동2가, 동신2차)",063-227-4833,,,0,4,,,2020-10-31
콜럼버스어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 삼천천변3길 20 102동 107호(삼천동1가, 호반리젠시빌)",063-227-4384,,,0,4,,,2020-10-31
큐피트어린이집,전라북도,전주시 완산구,사회복지법인,48,8,전라북도 전주시 완산구 화산천변3길 12-3 (중화산동2가),063-237-1279,,,0,7,,,2020-10-31
크는나무어린이집,전라북도,전주시 완산구,가정,20,5,전라북도 전주시 완산구 따박골로 46 (중화산동2가),063-228-2276,,,0,4,,,2020-10-31
크는새싹어린이집,전라북도,전주시 덕진구,가정,19,6,"전라북도 전주시 덕진구 견훤로 333 114동 104호(인후동1가, 두산위브)",063-247-0929,,,0,4,,,2020-10-31
크레파스어린이집,전라북도,전주시 덕진구,가정,20,5,전라북도 전주시 덕진구 송천동1가 오송로 45 송천아이파크아파트 105동 101호,063-905-2888,,,0,4,,,2020-10-31
큰나무어린이집,전라북도,전주시 완산구,민간,22,7,"전라북도 전주시 완산구 거마평로 7 관리동(삼천동1가, 주공4단지)",063-228-5994,,,0,4,,,2020-10-31
큰동그라미어린이집,전라북도,전주시 덕진구,민간,65,12,전라북도 전주시 덕진구 가재미로 23 (인후동1가),063-244-5507,,,1,9,,,2020-10-31
큰별어린이집,전라북도,전주시 완산구,사회복지법인,84,15,전라북도 전주시 완산구 내원당길 70-15 (대성동),063-287-4123,,,1,10,,,2020-10-31
큰빛사랑어린이집,전라북도,전주시 완산구,민간,73,10,전라북도 전주시 완산구 인봉로 38 (중노송동),063-285-2941,,,1,12,,,2020-10-31
큰빛선교어린이집,전라북도,전주시 덕진구,민간,61,11,전라북도 전주시 덕진구 석소2길 11-4 아중큰빛교회내 큰빛선교어린이집,063-244-1450,,,1,7,,,2020-10-31
큰숲어린이집,전라북도,전주시 덕진구,가정,13,3,"전라북도 전주시 덕진구 우아동3가 동부대로 575 101동 111호(우아동3가, 우정신세계)",063-901-5220,,,0,4,,,2020-10-31
클로버어린이집,전라북도,전주시 덕진구,가정,13,5,"전라북도 전주시 덕진구 붓내3길 29 119동 106호(송천동2가, 주공아파트)",063-245-0279,,,0,4,,,2020-10-31
키즈맘어린이집,전라북도,전주시 완산구,가정,19,2,"전라북도 전주시 완산구 모악로 4681 103동 101호(평화동2가, 미송평화하이죤)",063-904-7337,,,0,5,,,2020-10-31
키즈멘토어린이집,전라북도,전주시 덕진구,민간,39,8,전라북도 전주시 덕진구 가리내6길 16-12,063-255-6788,,,0,8,,,2020-10-31
키즈쉐마어린이집,전라북도,전주시 덕진구,민간,49,12,전라북도 전주시 덕진구 우아동1가 인교로 3-14,063-245-2855,,,0,12,,,2020-10-31
키즈엔젤어린이집,전라북도,전주시 덕진구,가정,13,4,전라북도 전주시 덕진구 사근1길 11 310동102호,070-7551-1503,,,0,4,,,2020-10-31
키즈캠어린이집,전라북도,전주시 완산구,민간,99,10,전라북도 전주시 완산구 평화11길 6-3 (평화동2가),063-226-4163,,,1,8,,,2020-10-31
키즈콜럼버스어린이집,전라북도,전주시 완산구,가정,20,4,전라북도 전주시 완산구 고사평1길 8-13 (서신동),063-251-3777,,,0,4,,,2020-10-31
킹덤어린이집,전라북도,전주시 덕진구,가정,20,5,"전라북도 전주시 덕진구 견훤로 333 111동 102호(인후동1가, 두산위브)",063-241-5560,,,0,4,,,2020-10-31
타이니어린이집,전라북도,전주시 완산구,민간,49,10,전라북도 전주시 완산구 화산천변2길 3-3 (중화산동2가),063-223-1774,,,0,8,,,2020-10-31
태평양어린이집,전라북도,전주시 덕진구,사회복지법인,48,10,전라북도 전주시 덕진구 모래내8길 23 (금암동),063-275-6815,,,0,10,,,2020-10-31
태평어린이집,전라북도,전주시 완산구,민간,49,6,전라북도 전주시 완산구 전주천동로 334 (태평동),063-275-7341,,,0,5,,,2020-10-31
테바솔어린이집,전라북도,전주시 완산구,가정,20,6,전라북도 전주시 완산구 효자동3가 농소7길 32-16,063-228-6336,,,0,8,,,2020-10-31
토마토어린이집,전라북도,전주시 완산구,민간,92,7,전라북도 전주시 완산구 중산1길 4-4 (중화산동2가),063-225-6213,,,1,12,,,2020-10-31
튼튼아가어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 당산로 55 202동 101호(서신동, 남양대명)",063-274-3693,,,0,4,,,2020-10-31
팅커벨어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 중화산동2가 영경1길 25 101동 105호(중화산동2가, 우성근영타운)",063-278-7088,,,0,4,,,2020-10-31
파니파니어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 서신로 102 102동 104호(서신동, 광진선수촌)",063-255-0277,,,0,5,,,2020-10-31
파란나라어린이집,전라북도,전주시 덕진구,민간,124,8,전라북도 전주시 덕진구 원산정길 22 (산정동),063-241-6522,,,1,12,,,2020-10-31
파란나무어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 효자동3가 유연로 217-11 107동 102호(효자동3가, 호반베르디움)",063-236-6696,,,0,4,,,2020-10-31
파란하늘어린이집,전라북도,전주시 덕진구,법인·단체,79,9,전라북도 전주시 덕진구 매봉로 23 (금암동),063-252-9040,,,1,7,,,2020-10-31
파랑새어린이집,전라북도,전주시 완산구,민간,24,7,전라북도 전주시 완산구 평화동2가 난전들로 245-15 (평화동2가),063-228-2092,,,0,6,,,2020-10-31
파랑어린이집,전라북도,전주시 완산구,민간,90,9,전라북도 전주시 완산구 서학3길 25-3 (서서학동),063-282-8008,,,1,8,,,2020-10-31
판암어린이집,전라북도,전주시 완산구,민간,99,14,전라북도 전주시 완산구 안행9길 29-10 (효자동1가),063-227-5464,,,1,16,,,2020-10-31
팔복성모어린이집,전라북도,전주시 덕진구,법인·단체,79,11,전라북도 전주시 덕진구 상리5길 8-5,063-212-1618,,,1,8,,,2020-10-31
팔복어린이집,전라북도,전주시 덕진구,국공립,131,22,전라북도 전주시 덕진구 신복7길 2-14,063-212-4354,,,1,12,,,2020-10-31
팡팡어린이집,전라북도,전주시 덕진구,가정,13,3,"전라북도 전주시 덕진구 와룡2길 14 8동 102호(송천동2가, 롯데아파트)",063-254-9981,,,0,3,,,2020-10-31
퍼스트어린이집,전라북도,전주시 덕진구,가정,17,2,전라북도 전주시 덕진구 만성동로 16 103동 105호(LH퍼스트리움아파트),063-255-8380,,,0,4,,,2020-10-31
평화그린어린이집,전라북도,전주시 완산구,가정,19,6,"전라북도 전주시 완산구 평화로 100 204동 104호(평화동2가, 주공그린2단지)",063-226-5279,,,0,4,,,2020-10-31
평화노벨어린이집,전라북도,전주시 완산구,민간,28,3,전라북도 전주시 완산구 평화동1가 덕적골2길 66 평화지안리즈아파트 관리동 내,063-282-6662,,,0,5,,,2020-10-31
평화사임당어린이집,전라북도,전주시 완산구,가정,19,7,"전라북도 전주시 완산구 평화로 120 101동 108호(평화동2가, 경복궁아파트)",063-228-6111,,,0,4,,,2020-10-31
평화원광어린이집,전라북도,전주시 완산구,법인·단체,85,15,전라북도 전주시 완산구 백제대로 20-15 (평화동1가),063-228-0098,,,1,10,,,2020-10-31
평화피노키오어린이집,전라북도,전주시 완산구,민간,240,22,전라북도 전주시 완산구 평화5길 24-21 (평화동2가),063-226-8188,,,1,22,,,2020-10-31
푸르니어린이집,전라북도,전주시 덕진구,민간,36,7,전라북도 전주시 덕진구 호성로 170 관리동(진흥더블파크 3단지),063-275-7171,,,1,5,,,2020-10-31
푸르지오 어린이집,전라북도,전주시 덕진구,민간,30,10,전라북도 전주시 덕진구 인후동1가 석소로 77 아중대우아파트 관리동 1층,063-241-8006,,,0,5,,,2020-10-31
푸른꿈어린이집,전라북도,전주시 덕진구,민간,48,6,전라북도 전주시 덕진구 송천동2가 사근1길 11-6 현대3차단지내,063-277-8660,,,0,6,,,2020-10-31
푸른나무어린이집,전라북도,전주시 덕진구,사회복지법인,99,12,전라북도 전주시 덕진구 초당길 85-12,063-253-8561,,,1,11,,,2020-10-31
푸른샘 어린이집,전라북도,전주시 덕진구,가정,19,2,"전라북도 전주시 덕진구 석소로 27 104동 106호(인후동1가, 아중제일)",063-243-2552,,,0,4,,,2020-10-31
푸른아이어린이집,전라북도,전주시 완산구,민간,31,2,전라북도 전주시 완산구 평화동2가 평화9길 16 주민복지관 1층,063-903-0456,,,0,4,,,2020-10-31
푸른어린이집,전라북도,전주시 완산구,가정,19,7,"전라북도 전주시 완산구 평화로 95 101동 104호(평화동2가, 호반리젠시빌)",063-903-4419,,,0,4,,,2020-10-31
푸른초장어린이집,전라북도,전주시 완산구,민간,91,10,전라북도 전주시 완산구 덕적골3길 36-6 (평화동1가),063-232-1331,,,1,14,,,2020-10-31
푸른하늘어린이집,전라북도,전주시 완산구,가정,16,5,"전라북도 전주시 완산구 삼천천변2길 51 102동 112호(삼천동1가, 우성2차아파트)",063-229-7199,,,0,3,,,2020-10-31
풀빛유기농어린이집,전라북도,전주시 완산구,가정,20,6,전라북도 전주시 완산구 효자동3가 용호로 149 (효자동3가),063-225-5343,,,0,5,,,2020-10-31
풀잎어린이집,전라북도,전주시 덕진구,가정,20,4,"전라북도 전주시 덕진구 안덕원로 325 102동 106호(인후동1가, 인후송정써미트아파트)",063-245-8085,,,0,4,,,2020-10-31
풍림아이원어린이집,전라북도,전주시 완산구,가정,20,4,"전라북도 전주시 완산구 우전1길 40 101동 101호(효자동2가, 풍림아이원)",063-277-1388,,,0,4,,,2020-10-31
프리머스키즈어린이집,전라북도,전주시 덕진구,민간,49,9,"전라북도 전주시 덕진구 오공로 70 중동, 우미린 1차 관리동",063-228-9400,,,0,5,,,2020-10-31
하가부영어린이집,전라북도,전주시 덕진구,가정,19,5,"전라북도 전주시 덕진구 덕진동2가 경동로 20 114동104호(덕진동2가,전주하가사랑으로부영아파트)",070-4231-5682,,,0,4,,,2020-10-31
하가숲어린이집,전라북도,전주시 덕진구,가정,20,6,"전라북도 전주시 덕진구 덕진동2가 경동로 19 105동103호(덕진동2가,하가지구 제일오투그란데아파트)",063-255-7810,,,0,4,,,2020-10-31
하가엔젤어린이집,전라북도,전주시 덕진구,민간,99,11,전라북도 전주시 덕진구 덕진동2가 상가마을길 8-14,063-275-5115,,,1,8,,,2020-10-31
하가예다음어린이집,전라북도,전주시 덕진구,가정,17,4,"전라북도 전주시 덕진구 가련산로 24 104동 102호(덕진동2가, 영무예다음아파트)",063-275-4465,,,0,4,,,2020-10-31
하가오투어린이집,전라북도,전주시 덕진구,민간,29,8,전라북도 전주시 덕진구 덕진동2가 경동로 19 관리동 보육시설 (하가오투그란데아파트),063-272-1554,,,0,7,,,2020-10-31
하가휴먼빌 어린이집,전라북도,전주시 덕진구,민간,46,12,전라북도 전주시 덕진구 덕진동2가 하가로 10 관리동,063-251-3298,,,0,10,,,2020-10-31
하나가정어린이집,전라북도,전주시 덕진구,가정,11,6,"전라북도 전주시 덕진구 진버들3길 8-3 106동 102호(인후동1가, 진버들마을부영1차아파트)",063-245-8888,,,0,3,,,2020-10-31
하나캐슬어린이집,전라북도,전주시 완산구,민간,250,19,전라북도 전주시 완산구 장승배기로 46-10 (삼천동1가),063-225-7942,,,1,28,,,2020-10-31
하늘꿈어린이집,전라북도,전주시 완산구,가정,18,5,"전라북도 전주시 완산구 강변로 106 103동 101호(삼천동1가, 삼천하이츠)",063-229-0262,,,0,4,,,2020-10-31
하늘샘어린이집,전라북도,전주시 완산구,민간,32,9,전라북도 전주시 완산구 당산로 11-3 (서신동),063-277-7663,,,0,8,,,2020-10-31
하늘숲어린이집,전라북도,전주시 덕진구,민간,38,10,전라북도 전주시 덕진구 오공로 100 혁신호반베르디움 더클래스Ⅱ 아파트 관리동,063-902-3313,,,0,5,,,2020-10-31
하늘어린이집,전라북도,전주시 덕진구,민간,34,9,전라북도 전주시 덕진구 솔내로 124  송천2차 현대아파트 관리동,063-252-2217,,,1,5,,,2020-10-31
하늘채어린이집,전라북도,전주시 완산구,민간,34,6,전라북도 전주시 완산구 화산천변로 55 (중화산동2가) 관리동(코오롱하늘채아파트),063-236-7188,,,0,4,,,2020-10-31
하민어린이집,전라북도,전주시 덕진구,민간,39,12,전라북도 전주시 덕진구 인교6길 7 (우아동1가),063-242-9639,,,0,10,,,2020-10-31
하버드어린이집,전라북도,전주시 덕진구,가정,19,3,"전라북도 전주시 덕진구 가리내로 216 505동 101호(덕진동2가, 휴먼빌아파트)",063-277-2784,,,0,4,,,2020-10-31
하얀꿈어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 난전들로 257 102동 103호(삼천동1가, 대왕장미)",063-227-1451,,,0,4,,,2020-10-31
하음어린이집,전라북도,전주시 완산구,가정,20,2,전라북도 전주시 완산구 신봉2길 10 (효자동1가),063-909-3690,,,0,4,,,2020-10-31
학산어린이집,전라북도,전주시 완산구,사회복지법인,45,7,전라북도 전주시 완산구 평화동2가 모악로 4726-1 평화주공4단지 관리동(평화동2가),063-227-3177,,,0,5,,,2020-10-31
한국어린이집,전라북도,전주시 완산구,민간,99,12,전라북도 전주시 완산구 용산마을길 35 (삼천동2가),063-222-6531,,,1,9,,,2020-10-31
한나 어린이집,전라북도,전주시 덕진구,사회복지법인,48,12,전라북도 전주시 덕진구 인후동1가 무삼지3길 5-1 한나어린이집,063-245-2656,,,1,7,,,2020-10-31
한동어린이집,전라북도,전주시 완산구,민간,68,7,전라북도 전주시 완산구 평화19길 13-6 (평화동1가),063-225-5662,,,1,6,,,2020-10-31
한둥글어린이집,전라북도,전주시 덕진구,가정,20,5,"전라북도 전주시 덕진구 안덕원로 251 107동 103호(인후동1가, 한신휴플러스)",063-244-5364,,,0,4,,,2020-10-31
한라비발디어린이집,전라북도,전주시 덕진구,가정,20,6,전라북도 전주시 덕진구 송천동2가 천마산로 115 205동105호(송천동 한라비발디2단지),063-272-1772,,,0,4,,,2020-10-31
한라아이원어린이집,전라북도,전주시 덕진구,국공립,25,6,전라북도 전주시 덕진구 송천동2가 천마산로 115 209동 관리동,063-251-5522,,,0,6,,,2020-10-31
한마음어린이집,전라북도,전주시 완산구,사회복지법인,41,17,전라북도 전주시 완산구 계룡산길 44-6 (삼천동2가),063-224-0979,,,0,10,,,2020-10-31
한빛어린이집,전라북도,전주시 덕진구,사회복지법인,265,26,전라북도 전주시 덕진구 와룡로 109-13,063-252-3030,,,1,32,,,2020-10-31
한샘어린이집,전라북도,전주시 덕진구,민간,49,7,전라북도 전주시 덕진구 초포로 228-9,070-8666-7236,,,0,4,,,2020-10-31
한솔빛어린이집,전라북도,전주시 덕진구,민간,49,10,전라북도 전주시 덕진구 무삼지6길 8 (인후동1가),063-243-9611,,,0,10,,,2020-10-31
한솔어린이집,전라북도,전주시 완산구,민간,89,9,전라북도 전주시 완산구 유연로 349-18 (서신동),063-273-1350,,,1,6,,,2020-10-31
한아름어린이집,전라북도,전주시 완산구,가정,20,5,"전라북도 전주시 완산구 효자동2가 호암로 40 205동 103호(효자동2가,골든팰리스휴먼시아)",063-245-0741,,,0,4,,,2020-10-31
한우리어린이집,전라북도,전주시 완산구,가정,17,4,"전라북도 전주시 완산구 서곡로 11 105동 103호(효자동3가, 서곡대림)",063-275-8599,,,0,5,,,2020-10-31
해나라가정어린이집,전라북도,전주시 덕진구,가정,19,5,"전라북도 전주시 덕진구 붓내3길 29 105동 103호(송천동2가, 주공아파트)",063-254-3380,,,0,4,,,2020-10-31
해달별어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 당산로 55 201동 105호(서신동, 남양대명)",063-255-7222,,,0,4,,,2020-10-31
해뜨는어린이집,전라북도,전주시 완산구,가정,15,4,"전라북도 전주시 완산구 장승배기로 15 402동 104호(삼천동1가, 주공아파트)",063-225-1152,,,0,4,,,2020-10-31
해뜰어린이집,전라북도,전주시 완산구,민간,36,8,"전라북도 전주시 완산구 새터로 95 관리동(서신동, 동아한일)",063-276-0661,,,0,5,,,2020-10-31
해랑꿈이랑어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 거마평로 93 501동 106호(효자동1가, 쌍용모악파크빌라)",063-236-1474,,,0,4,,,2020-10-31
해맑은어린이집,전라북도,전주시 완산구,민간,99,7,전라북도 전주시 완산구 안행8길 30 (삼천동1가),063-236-5558,,,1,14,,,2020-10-31
해미리어린이집,전라북도,전주시 덕진구,민간,99,15,전라북도 전주시 덕진구 배미실마을길 18,063-253-7477,,,1,11,,,2020-10-31
해바라기어린이집,전라북도,전주시 덕진구,민간,181,22,전라북도 전주시 덕진구 가리내로 590 (송천동1가),063-277-3434,,,1,13,,,2020-10-31
해사랑어린이집,전라북도,전주시 덕진구,가정,19,2,"전라북도 전주시 덕진구 호성2길 16 106동 101호(호성동1가, 동아)",063-242-0246,,,0,4,,,2020-10-31
해성어린이집,전라북도,전주시 덕진구,가정,19,5,"전라북도 전주시 덕진구 진북로 15 102동 104호(진북동, 동국해성)",063-277-1248,,,0,4,,,2020-10-31
해솜어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 모악로 4681 102동 101호(평화동2가, 미송평화하이죤)",063-229-8586,,,0,4,,,2020-10-31
해오름어린이집,전라북도,전주시 완산구,가정,20,4,"전라북도 전주시 완산구 인봉남로 56 101동 104호(중노송동, 우성해오름아파트)",063-288-6433,,,0,4,,,2020-10-31
해오름재능어린이집,전라북도,전주시 덕진구,가정,19,5,전라북도 전주시 덕진구 송천동2가 사근1길 11 현대3차@303동102호,063-275-9594,,,0,4,,,2020-10-31
해와달어린이집,전라북도,전주시 완산구,가정,20,4,전라북도 전주시 완산구 공북3길 27-2 (태평동),063-251-8235,,,0,4,,,2020-10-31
해와솔어린이집,전라북도,전주시 덕진구,민간,37,9,전라북도 전주시 덕진구 인후동1가 무삼지로 10 아중마을부영6차아파트 관리사무소1층,063-246-9967,,,0,4,,,2020-10-31
해피랜드24시어린이집,전라북도,전주시 완산구,가정,19,6,"전라북도 전주시 완산구 새터로 100 101동 102호(서신동, 대우대창)",063-274-6523,,,0,4,,,2020-10-31
해피안어린이집,전라북도,전주시 완산구,민간,29,4,"전라북도 전주시 완산구 평화7길 40 관리동(평화동2가, 송정써미트)",063-228-5030,,,0,5,,,2020-10-31
해피자이어린이집,전라북도,전주시 덕진구,가정,19,4,"전라북도 전주시 덕진구 송천동1가 두간6길 10 103동 102호(송천동1가, 송천자이 아파트)",063-273-1420,,,0,4,,,2020-10-31
해피트리어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 삼천천변3길 20 106동 102호(삼천동1가, 호반리젠시빌)",063-229-3455,,,0,4,,,2020-10-31
햇살나라어린이집,전라북도,전주시 덕진구,민간,42,5,전라북도 전주시 덕진구 인후동1가 무삼지5길 6-3 1층,063-247-6565,,,1,14,,,2020-10-31
햇살아이어린이집,전라북도,전주시 덕진구,가정,19,6,"전라북도 전주시 덕진구 호성로 136 201동 106호(호성동1가, 진흥더블파크2단지)",063-246-7658,,,0,4,,,2020-10-31
햇살어린이집,전라북도,전주시 완산구,가정,20,5,"전라북도 전주시 완산구 당산로 34 101동 104호(서신동, 비사벌)",063-277-0120,,,0,4,,,2020-10-31
행복나무어린이집,전라북도,전주시 덕진구,가정,19,4,"전라북도 전주시 덕진구 석소로 55 101동 104호(인후동1가, 아중현대)",063-243-2345,,,0,4,,,2020-10-31
행복숲어린이집,전라북도,전주시 덕진구,민간,49,8,전라북도 전주시 덕진구 백동로 32 (인후동2가),063-246-0657,,,0,9,,,2020-10-31
행복웃음어린이집,전라북도,전주시 완산구,가정,19,3,"전라북도 전주시 완산구 세내로 241 104동 103호(효자동2가, 효자1차엘드수목토)",063-226-0277,,,0,4,,,2020-10-31
행복주머니어린이집,전라북도,전주시 완산구,가정,19,6,"전라북도 전주시 완산구 평화로 120 102동 101호(평화동2가, 경복궁아파트)",063-902-9507,,,0,4,,,2020-10-31
행복한가정어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 평화로 95 103동 101호(평화동2가, 호반리젠시빌)",063-901-1112,,,0,4,,,2020-10-31
행복한미키어린이집,전라북도,전주시 완산구,가정,20,4,"전라북도 전주시 완산구 평화동1가 덕적골1길 50 103동 104호(평화동 1가, 오네뜨아파트)",063-227-6382,,,0,5,,,2020-10-31
행복한어린이집,전라북도,전주시 완산구,가정,19,5,"전라북도 전주시 완산구 장승배기로 15 405동 104호(삼천동1가, 삼천주공4단지)",063-225-8494,,,0,4,,,2020-10-31
현대아이사랑어린이집,전라북도,전주시 완산구,가정,20,6,"전라북도 전주시 완산구 세내로 545 105동 102호(효자동3가,서곡현대)",063-276-5585,,,0,4,,,2020-10-31
현대어린이집,전라북도,전주시 완산구,사회복지법인,97,11,전라북도 전주시 완산구 인정2길 12 (중화산동2가),063-227-2530,,,1,11,,,2020-10-31
현대코끼리어린이집,전라북도,전주시 덕진구,가정,19,6,"전라북도 전주시 덕진구 솔내로 124 203동 101호(송천동1가, 송천현대2차아파트)",063-903-2800,,,0,4,,,2020-10-31
현대키즈 어린이집,전라북도,전주시 덕진구,가정,19,6,"전라북도 전주시 덕진구 석소로 55 114동 104호(인후동1가, 아중현대)",063-247-7784,,,0,4,,,2020-10-31
현대피노키오어린이집,전라북도,전주시 덕진구,가정,20,5,"전라북도 전주시 덕진구 석소로 55 106동 101호(인후동1가, 아중현대)",063-242-3861,,,0,5,,,2020-10-31
현어린이집,전라북도,전주시 덕진구,가정,20,1,"전라북도 전주시 덕진구 호성로 170 304동 103호(호성동2가, 진흥더블유파크아파트)",063-274-8775,,,0,4,,,2020-10-31
혜윰어린이집,전라북도,전주시 완산구,가정,19,6,"전라북도 전주시 완산구 장승배기로 15 404동 103호(삼천동1가, 주공아파트)",063-225-8529,,,0,4,,,2020-10-31
호남어린이집,전라북도,전주시 완산구,민간,99,12,전라북도 전주시 완산구 삼산길 26 (삼천동3가),063-227-9100,,,1,9,,,2020-10-31
호두나무어린이집,전라북도,전주시 덕진구,민간,24,6,전라북도 전주시 덕진구 가리내로 216 휴먼빌아파트 관리동 1층 (덕진동2가),063-255-2279,,,0,4,,,2020-10-31
호반아이잼어린이집,전라북도,전주시 덕진구,민간,48,12,전라북도 전주시 덕진구 오공로 71 혁신호반베르디움1차아파트 관리동,063-236-1355,,,0,8,,,2020-10-31
호반어린이집,전라북도,전주시 완산구,민간,37,9,"전라북도 전주시 완산구 유연로 217-11 관리동(효자동3가, 호반베르디움)",063-229-7955,,,0,4,,,2020-10-31
호반예꼬별어린이집,전라북도,전주시 덕진구,민간,57,13,전라북도 전주시 덕진구 출판로 87 209동101호(호반베르디움 더클래스) 관리동,063-214-5252,,,1,12,,,2020-10-31
효성어린이집,전라북도,전주시 덕진구,가정,19,7,전라북도 전주시 덕진구 송천동2가 사근1길 11 현대3차아파트307동108호,063-255-5628,,,0,4,,,2020-10-31
효자아이꿈어린이집,전라북도,전주시 완산구,가정,19,6,"전라북도 전주시 완산구 거마평로 217 101동 106호(효자동1가, 뷰티빌아파트)",063-226-6996,,,0,4,,,2020-10-31
효자제일어린이집,전라북도,전주시 완산구,법인·단체,48,6,전라북도 전주시 완산구 신촌1길 44-3 (효자동3가),063-226-1398,,,0,6,,,2020-10-31
훈민정음어린이집,전라북도,전주시 덕진구,민간,92,6,전라북도 전주시 덕진구 모래내5길 52 (금암동),063-274-0543,,,1,10,,,2020-10-31
휴먼빌어린이집,전라북도,전주시 덕진구,가정,19,5,"전라북도 전주시 덕진구 가리내로 216 501동 103호(덕진동2가, 휴먼빌아파트)",063-908-8876,,,0,4,,,2020-10-31
휴먼시아맑은샘어린이집,전라북도,전주시 완산구,국공립,34,12,"전라북도 전주시 완산구 용호로 20 307동 1층(효자동2가, 휴먼시아3단지아파트)",063-223-3883,,,0,4,,,2020-10-31
휴먼시아밝은빛어린이집,전라북도,전주시 완산구,국공립,47,11,"전라북도 전주시 완산구 호암로 88 관리동1층(효자동2가, 효자휴먼시아6단지)",063-223-0103,,,0,4,,,2020-10-31
휴먼시아숲속어린이집,전라북도,전주시 완산구,국공립,37,12,"전라북도 전주시 완산구 호암로 2 1블럭관리동내(효자동2가, 휴먼시아)",063-223-6543,,,0,6,,,2020-10-31
휴먼시아어린이집,전라북도,전주시 완산구,가정,20,5,"전라북도 전주시 완산구 소태정로 1 402동 103호(효자동2가, 휴먼시아아이린)",063-226-8384,,,0,4,,,2020-10-31
휴먼시아해오름어린이집,전라북도,전주시 완산구,국공립,47,14,"전라북도 전주시 완산구 호암로 87 관리동(효자동2가, 휴먼시아5단지)",063-236-0131,,,0,5,,,2020-10-31
휴플러스어린이집,전라북도,전주시 완산구,가정,19,4,"전라북도 전주시 완산구 따박골4길 10 104동 104호(효자동1가, 한신휴플러스)",063-228-7075,,,0,4,,,2020-10-31
흥건어린이집,전라북도,전주시 완산구,가정,20,1,"전라북도 전주시 완산구 삼천천변1길 46 105동 101호(삼천동1가, 흥건삼천1차)",063-237-5510,,,0,2,,,2020-10-31
희망어린이집,전라북도,전주시 덕진구,가정,19,4,"전라북도 전주시 덕진구 호성동1가 호성로 136 202동 103호(호성동1가, 진흥더블파크아파트)",063-902-1228,,,0,4,,,2020-10-31
희망찬어린이집,전라북도,전주시 덕진구,가정,19,3,"전라북도 전주시 덕진구 호성2길 16 101동 101호(호성동1가, 동아)",063-246-5406,,,0,4,,,2020-10-31
힐스테이트어린이집,전라북도,전주시 완산구,민간,29,0,전라북도 전주시 완산구 효자동3가 세내로 291,063-221-2550,,,0,4,,,2020-10-31
